"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,17.09.2025 (15:00 - 17:30),,,NEXT DAY:,,18.09.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
23,3236,Не зайшов,,,23,,3245,Обіцяв бути,---,,21
24,3238,Не зайшов,,,24,,3249,Обіцяв бути,---,,22
25,3242,Не зайшов,,,25,,3253,Обіцяв бути,---,,23
26,3243,Не зайшов,,,26,,3254,Обіцяв бути,---,,24
27,3244,Не зайшов,,,27,,3255,Обіцяв бути,---,,25
28,3245,Не зайшов,,,28,,3256,Обіцяв бути,---,,26
29,3247,Не зайшов,пройшов в суботу суботу 30.08.25 https://t.me/vlkzakrevskogo81/56123,,29,,3259,Обіцяв бути,---,,#N/A
30,3249,Не зайшов,,,30,,3260,Обіцяв бути,---,,27
31,3251,Не зайшов,,,31,,3261,Обіцяв бути,---,,#N/A
32,3253,Не зайшов,,,32,,3262,Обіцяв бути,---,,28
33,3254,Не зайшов,,,33,,3263,Обіцяв бути,---,,29
34,3255,Не зайшов,,,34,,3266,Обіцяв бути,---,,30
35,3256,Не зайшов,,,35,,3267,Обіцяв бути,---,,31
36,3259,Не зайшов,,,36,,3271,Обіцяв бути,---,,32
37,3260,Не зайшов,,,37,,3272,Обіцяв бути,---,,33
38,3261,Не зайшов,,,38,,3273,Обіцяв бути,---,,34
39,3262,Не зайшов,,,39,,3274,Обіцяв бути,---,,35
40,3263,Не зайшов,,,40,,3275,Обіцяв бути,---,,36
41,3266,Не зайшов,,,41,,3279,Обіцяв бути,---,,37
42,3267,Не зайшов,,,42,,3280,Обіцяв бути,---,,38
43,3271,Не зайшов,,,43,,3287,Обіцяв бути,---,,39
44,3272,Не зайшов,,,44,,3288,Обіцяв бути,---,,40
45,3273,Не зайшов,,,45,,3295,Обіцяв бути,---,,41
46,3274,Не зайшов,,,46,,3298,Обіцяв бути,---,,42
47,3275,Не зайшов,,,47,,3299,Обіцяв бути,---,,43
48,3279,Не зайшов,,,48,,3303,Обіцяв бути,---,,44,#N/A
49,3287,Не зайшов,,,49,,3307,Обіцяв бути,---,,46
50,3288,Не зайшов,,,50,,3309,Обіцяв бути,---,,47
51,3298,Не зайшов,,,51,,3310,Обіцяв бути,---,,49,#N/A
52,3299,Не зайшов,,,52,,3314,Обіцяв бути,---,,50
53,3303,Не зайшов,,,53,,3325,Обіцяв бути,---,,51
54,3307,Не зайшов,,,54,,3326,Обіцяв бути,---,,52
55,3309,Не зайшов,,,55,,3328,Обіцяв бути,---,,53
56,3310,Не зайшов,,,56,,3329,Обіцяв бути,---,,54
57,3314,Не зайшов,,,57,,3334,Обіцяв бути,---,,55
58,3325,Не зайшов,,,58,,3341,Обіцяв бути,---,,56
59,3326,Не зайшов,,,59,,3342,Обіцяв бути,---,,57
60,3328,Не зайшов,,,60,,3345,Обіцяв бути,---,,58
61,3329,Не зайшов,,,61,,3346,Обіцяв бути,---,,59
62,3334,Не зайшов,,,62,,3351,Обіцяв бути,---,,60
63,3341,Не зайшов,,,63,,3357,Обіцяв бути,---,,61
64,3342,Не зайшов,,,64,,3375,Обіцяв бути,---,,62
65,3345,Не зайшов,,,65,,3383,Обіцяв бути,---,,63
66,3346,Не зайшов,,,66,,3384,Обіцяв бути,---,,64
67,3357,Не зайшов,,,67,,3392,Обіцяв бути,---,,66
68,3364,Відклав візит,,,68,,3395,Обіцяв бути,---,,#N/A
69,3375,Не зайшов,,,69,,3397,Обіцяв бути,---,,67
70,3383,Не зайшов,,,70,,3399,Обіцяв бути,---,,68
71,3384,Не зайшов,,,71,,3411,Обіцяв бути,---,,69
72,3392,Відклав візит,,,72,,3412,Обіцяв бути,---,,70
73,3395,Не зайшов,,,73,,3426,Обіцяв бути,---,,71,#N/A
74,3397,Не зайшов,,,74,,3429,Обіцяв бути,---,,72
75,3399,Не зайшов,,,75,,3431,Обіцяв бути,---,,73
76,3412,Не зайшов,,,76,,3438,Обіцяв бути,---,,75
77,3426,Не зайшов,,,77,,3440,Обіцяв бути,---,,76
78,3429,Не зайшов,,,78,,3447,Обіцяв бути,---,,77
79,3431,Не зайшов,,,79,,3457,Обіцяв бути,---,,78
80,3440,Не зайшов,,,80,,3459,Обіцяв бути,---,,80
81,3447,Не зайшов,,,81,,3461,Обіцяв бути,---,,81
82,3457,Не зайшов,,,82,,3463,Обіцяв бути,---,,82,#N/A
83,3459,Не зайшов,,,83,,3471,Обіцяв бути,---,,83
84,3461,Не зайшов,,,84,,3483,Обіцяв бути,---,,84
85,3463,Не зайшов,,,85,,3495,Обіцяв бути,---,,85
86,3471,Не зайшов,,,86,,3498,Обіцяв бути,---,,86
87,3483,Не зайшов,,,87,,3499,Обіцяв бути,---,,87
88,3495,Не зайшов,,,88,,3500,Обіцяв бути,---,,88
89,3498,Не зайшов,,,89,,3501,Обіцяв бути,---,,89
90,3499,Не зайшов,,,90,,3503,Обіцяв бути,---,,90
91,3500,Не зайшов,,,91,,3504,Обіцяв бути,---,,91
92,3501,Не зайшов,,,92,,3509,Обіцяв бути,---,,92
93,3504,Не зайшов,,,93,,3515,Обіцяв бути,---,,94
94,3509,Не зайшов,,,94,,3522,Обіцяв бути,---,,95
95,3515,Не зайшов,,,95,,3537,Обіцяв бути,---,,96
96,3522,Не зайшов,,,96,"ваш номер 3561, замість 3562",3561,Обіцяв бути,---,,97,#N/A
97,3537,Не зайшов,,,97,,3604,Обіцяв бути,---,,98
98,3561,Не зайшов,"ваш номер 3561, замість 3562",,98,,3608,Обіцяв бути,---,,99
99,3604,Не зайшов,,,99,,3656,Обіцяв бути,---,,100
100,3608,Не зайшов,,,100,,3659,Обіцяв бути,---,,101
101,3620,Відклав візит,,,101,,3672,Обіцяв бути,---,,#N/A
102,3656,Не зайшов,,,102,,3693,Обіцяв бути,---,,102
103,3659,Не зайшов,,,103,,3696,Обіцяв бути,---,,103
104,3672,Не зайшов,,,104,,3704,Обіцяв бути,---,,104
105,3690,Відклав візит,,,105,,3709,Обіцяв бути,---,,#N/A
106,3696,Не зайшов,,,106,,3719,Обіцяв бути,---,,106
107,3704,Не зайшов,,,107,,3741,Обіцяв бути,---,,107
108,3709,Не зайшов,,,108,,3747,Обіцяв бути,---,,108
109,3712,Не зайшов,,,109,,3761,Обіцяв бути,---,,#N/A
110,3719,Не зайшов,,,110,,,,,,109
111,3726,Відклав візит,,,111,,,,,,#N/A
112,3741,Не зайшов,,,112,,,,,,110
113,3743,Не зайшов,записався на Іваніса,,113,,,,,,#N/A
114,,,,,114,,,,,,#N/A
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
