"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
Попередній прийом:,,06.10.2025 (08:30 - 14:00),,,Поточний прийом:,,07.10.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
92,4046,Відклав візит,,,92,,,,,,#N/A
93,,,,,93,,,,,,#N/A
94,,,,,94,,,,,,#N/A
95,,,,,95,,,,,,#N/A
96,,,,,96,,,,,,#N/A,#N/A
97,,,,,97,,,,,,#N/A
98,,,,,98,,,,,,#N/A
99,,,,,99,,,,,,#N/A
100,,,,,100,,,,,,#N/A
101,,,,,101,,,,,,#N/A
102,,,,,102,,,,,,#N/A
103,,,,,103,,,,,,#N/A
104,,,,,104,,,,,,#N/A
105,,,,,105,,,,,,#N/A
106,,,,,106,,,,,,#N/A
107,,,,,107,,,,,,#N/A
108,,,,,108,,,,,,#N/A
109,,,,,109,,,,,,#N/A
110,,,,,110,,,,,,#N/A
111,,,,,111,,,,,,#N/A
112,,,,,112,,,,,,#N/A
113,,,,,113,,,,,,#N/A
114,,,,,114,,,,,,#N/A
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
