"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,10.09.2025 (8:30 - 14:00),,,NEXT DAY:,,11.09.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
28,3143,Не зайшов,Остання спроба,,28,,3173,Обіцяв бути,---,,25
29,3155,Не зайшов,,,29,,3194,Обіцяв бути,---,,27
30,3156,Не зайшов,Остання спроба,,30,Остання спроба,3198,Обіцяв бути,---,,28
31,3162,Не зайшов,Остання спроба,,31,,3205,Обіцяв бути,---,,29
32,3169,Не зайшов,,,32,,3210,Обіцяв бути,---,,30
33,3173,Не зайшов,,,33,,3216,Обіцяв бути,---,,31,#N/A
34,3194,Не зайшов,,,34,,3217,Обіцяв бути,---,,32
35,3198,Не зайшов,Остання спроба,,35,,3220,Обіцяв бути,---,,33
36,3205,Не зайшов,,,36,,3225,Обіцяв бути,---,,34
37,3210,Не зайшов,,,37,,3227,Обіцяв бути,---,,35
38,3216,Не зайшов,,,38,,3233,Обіцяв бути,---,,36
39,3217,Не зайшов,,,39,,3235,Обіцяв бути,---,,37
40,3220,Не зайшов,,,40,,3236,Обіцяв бути,---,,38
41,3225,Не зайшов,,,41,,3238,Обіцяв бути,---,,39
42,3227,Не зайшов,,,42,,3243,Обіцяв бути,---,,40
43,3233,Не зайшов,,,43,,3244,Обіцяв бути,---,,41
44,3236,Не зайшов,,,44,,3245,Обіцяв бути,---,,43
45,3238,Не зайшов,,,45,,3247,Обіцяв бути,---,,44
46,3243,Не зайшов,,,46,,3249,Обіцяв бути,---,,45
47,3244,Не зайшов,,,47,,3253,Обіцяв бути,---,,46
48,3245,Не зайшов,,,48,,3254,Обіцяв бути,---,,47,#N/A
49,3247,Не зайшов,пройшов в суботу суботу 30.08.25 https://t.me/vlkzakrevskogo81/56123,,49,,3255,Обіцяв бути,---,,48
50,3249,Не зайшов,,,50,,3256,Обіцяв бути,---,,49
51,3253,Не зайшов,,,51,,3260,Обіцяв бути,---,,50,#N/A
52,3254,Не зайшов,,,52,,3261,Обіцяв бути,---,,51
53,3255,Не зайшов,,,53,,3266,Обіцяв бути,---,,52
54,3256,Не зайшов,,,54,,3267,Обіцяв бути,---,,53
55,3260,Не зайшов,,,55,,3270,Обіцяв бути,---,,54
56,3261,Не зайшов,,,56,,3271,Обіцяв бути,---,,55
57,3266,Не зайшов,,,57,,3272,Обіцяв бути,---,,56
58,3267,Не зайшов,,,58,,3273,Обіцяв бути,---,,57
59,3270,Не зайшов,,,59,,3274,Обіцяв бути,---,,58
60,3271,Не зайшов,,,60,,3275,Обіцяв бути,---,,59
61,3272,Не зайшов,,,61,,3279,Обіцяв бути,---,,60
62,3273,Не зайшов,,,62,,3287,Обіцяв бути,---,,61
63,3274,Не зайшов,,,63,,3288,Обіцяв бути,---,,62
64,3275,Не зайшов,,,64,,3298,Обіцяв бути,---,,63
65,3279,Не зайшов,,,65,,3303,Обіцяв бути,---,,64
66,3287,Не зайшов,,,66,,3307,Обіцяв бути,---,,65
67,3288,Не зайшов,,,67,,3308,Обіцяв бути,---,,66
68,3298,Не зайшов,,,68,,3310,Обіцяв бути,---,,67
69,3303,Не зайшов,,,69,,3314,Обіцяв бути,---,,68
70,3307,Не зайшов,,,70,,3324,Обіцяв бути,---,,69
71,3310,Не зайшов,,,71,,3326,Обіцяв бути,---,,71
72,3314,Не зайшов,,,72,,3328,Обіцяв бути,---,,72
73,3326,Не зайшов,,,73,,3329,Обіцяв бути,---,,74,#N/A
74,3328,Не зайшов,,,74,,3334,Обіцяв бути,---,,75
75,3329,Не зайшов,,,75,,3341,Обіцяв бути,---,,76
76,3341,Не зайшов,,,76,,3342,Обіцяв бути,---,,78
77,3342,Не зайшов,,,77,,3345,Обіцяв бути,---,,79
78,3345,Не зайшов,,,78,,3346,Обіцяв бути,---,,80
79,3346,Не зайшов,,,79,,3357,Обіцяв бути,---,,81
80,3357,Не зайшов,,,80,,3375,Обіцяв бути,---,,82
81,3375,Не зайшов,,,81,,3383,Обіцяв бути,---,,83
82,3383,Не зайшов,,,82,,3384,Обіцяв бути,---,,84,#N/A
83,3384,Не зайшов,,,83,,3387,Обіцяв бути,---,,85
84,3395,Не зайшов,,,84,,3395,Обіцяв бути,---,,87
85,3396,Відклав візит,,,85,,3397,Обіцяв бути,---,,#N/A
86,3399,Не зайшов,,,86,,3399,Обіцяв бути,---,,89
87,3426,Не зайшов,,,87,,3426,Обіцяв бути,---,,90
88,3429,Не зайшов,,,88,,3429,Обіцяв бути,---,,91
89,3431,Не зайшов,,,89,,3430,Обіцяв бути,---,,93
90,3447,Не зайшов,,,90,,3431,Обіцяв бути,---,,94
91,3457,Не зайшов,,,91,,3447,Обіцяв бути,---,,96
92,3459,Не зайшов,,,92,,3448,Обіцяв бути,---,,97
93,3461,Не зайшов,,,93,,3457,Обіцяв бути,---,,98
94,3463,Не зайшов,,,94,,3459,Обіцяв бути,---,,99
95,3483,Не зайшов,,,95,,3461,Обіцяв бути,---,,100
96,3495,Не зайшов,,,96,,3463,Обіцяв бути,---,,101,#N/A
97,3498,Не зайшов,,,97,,3483,Обіцяв бути,---,,102
98,3500,Не зайшов,,,98,,3495,Обіцяв бути,---,,103
99,3501,Не зайшов,,,99,,3498,Обіцяв бути,---,,104
100,3504,Не зайшов,,,100,,3500,Обіцяв бути,---,,105
101,3515,Не зайшов,,,101,,3501,Обіцяв бути,---,,106
102,3520,Відклав візит,,,102,,3504,Обіцяв бути,---,,#N/A
103,3522,Не зайшов,,,103,,3515,Обіцяв бути,---,,107
104,3537,Не зайшов,,,104,,3522,Обіцяв бути,---,,108
105,3597,Відклав візит,,,105,,3537,Обіцяв бути,---,,#N/A
106,3604,Не зайшов,,,106,"ваш номер 3561, замість 3562",3561,Обіцяв бути,---,,110
107,3351,Відклав візит,,,107,,3604,Обіцяв бути,---,,#N/A
108,,,,,108,,3645,Обіцяв бути,---,,#N/A
109,,,,,109,,3649,Обіцяв бути,---,,#N/A
110,,,,,110,,,,,,#N/A
111,,,,,111,,,,,,#N/A
112,,,,,112,,,,,,#N/A
113,,,,,113,,,,,,#N/A
114,,,,,114,,,,,,#N/A
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
