"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,15.09.2025 (15:00 - 17:30),,,NEXT DAY:,,16.09.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
52,3287,Не зайшов,,,52,,3272,Обіцяв бути,---,,60
53,3288,Не зайшов,,,53,,3273,Обіцяв бути,---,,61
54,3295,Не зайшов,,,54,,3274,Обіцяв бути,---,,#N/A
55,3298,Не зайшов,,,55,,3275,Обіцяв бути,---,,62
56,3299,Не зайшов,,,56,,3279,Обіцяв бути,---,,63
57,3303,Не зайшов,,,57,,3287,Обіцяв бути,---,,64
58,3307,Не зайшов,,,58,,3288,Обіцяв бути,---,,65
59,3309,Не зайшов,,,59,,3298,Обіцяв бути,---,,66
60,3310,Не зайшов,,,60,,3299,Обіцяв бути,---,,67
61,3314,Не зайшов,,,61,,3303,Обіцяв бути,---,,68
62,3325,Не зайшов,,,62,,3307,Обіцяв бути,---,,69
63,3326,Не зайшов,,,63,,3309,Обіцяв бути,---,,70
64,3328,Не зайшов,,,64,,3310,Обіцяв бути,---,,71
65,3329,Не зайшов,,,65,,3314,Обіцяв бути,---,,72
66,3334,Не зайшов,,,66,,3325,Обіцяв бути,---,,73
67,3341,Не зайшов,,,67,,3326,Обіцяв бути,---,,74
68,3342,Не зайшов,,,68,,3328,Обіцяв бути,---,,75
69,3345,Не зайшов,,,69,,3329,Обіцяв бути,---,,76
70,3346,Не зайшов,,,70,,3334,Обіцяв бути,---,,77
71,3357,Не зайшов,,,71,,3341,Обіцяв бути,---,,78
72,3375,Не зайшов,,,72,,3342,Обіцяв бути,---,,79
73,3383,Не зайшов,,,73,,3345,Обіцяв бути,---,,80,#N/A
74,3384,Не зайшов,,,74,,3346,Обіцяв бути,---,,81
75,3395,Не зайшов,,,75,,3357,Обіцяв бути,---,,83
76,3397,Не зайшов,,,76,,3375,Обіцяв бути,---,,84
77,3399,Не зайшов,,,77,,3383,Обіцяв бути,---,,85
78,3426,Не зайшов,,,78,,3384,Обіцяв бути,---,,87
79,3429,Не зайшов,,,79,,3392,Обіцяв бути,---,,88
80,3431,Не зайшов,,,80,,3395,Обіцяв бути,---,,89
81,3447,Не зайшов,,,81,,3397,Обіцяв бути,---,,91
82,3457,Не зайшов,,,82,,3399,Обіцяв бути,---,,92,#N/A
83,3459,Не зайшов,,,83,,3412,Обіцяв бути,---,,93
84,3461,Не зайшов,,,84,,3426,Обіцяв бути,---,,94
85,3463,Не зайшов,,,85,,3429,Обіцяв бути,---,,95
86,3471,Не зайшов,,,86,,3431,Обіцяв бути,---,,96
87,3483,Не зайшов,,,87,,3440,Обіцяв бути,---,,97
88,3495,Не зайшов,,,88,,3447,Обіцяв бути,---,,98
89,3498,Не зайшов,,,89,,3457,Обіцяв бути,---,,99
90,3500,Не зайшов,,,90,,3459,Обіцяв бути,---,,101
91,3501,Не зайшов,,,91,,3461,Обіцяв бути,---,,102
92,3504,Не зайшов,,,92,,3463,Обіцяв бути,---,,103
93,3509,Не зайшов,,,93,,3471,Обіцяв бути,---,,104
94,3515,Не зайшов,,,94,,3483,Обіцяв бути,---,,105
95,3522,Не зайшов,,,95,,3495,Обіцяв бути,---,,106
96,3537,Не зайшов,,,96,,3498,Обіцяв бути,---,,107,#N/A
97,3561,Не зайшов,,,97,,3499,Обіцяв бути,---,,108
98,3604,Не зайшов,,,98,,3500,Обіцяв бути,---,,109
99,3656,Не зайшов,,,99,,3501,Обіцяв бути,---,,111
100,3659,Не зайшов,,,100,,3504,Обіцяв бути,---,,112
101,3672,Не зайшов,,,101,,3509,Обіцяв бути,---,,113
102,3696,Не зайшов,,,102,,3515,Обіцяв бути,---,,114
103,3704,Не зайшов,,,103,,3522,Обіцяв бути,---,,115
104,3706,Не зайшов,,,104,,3537,Обіцяв бути,---,,#N/A
105,,,"ваш номер 3561, замість 3562",,105,"ваш номер 3561, замість 3562",3561,Обіцяв бути,---,,#N/A
106,,,,,106,,3604,Обіцяв бути,---,,#N/A
107,,,,,107,,3608,Обіцяв бути,---,,#N/A
108,,,,,108,,3656,Обіцяв бути,---,,#N/A
109,,,,,109,,3659,Обіцяв бути,---,,#N/A
110,,,,,110,,3672,Обіцяв бути,---,,#N/A
111,,,,,111,,3696,Обіцяв бути,---,,#N/A
112,,,,,112,,3704,Обіцяв бути,---,,#N/A
113,,,,,113,,3723,Обіцяв бути,---,,#N/A
114,,,,,114,,3726,Обіцяв бути,---,,#N/A
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
