"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,12.09.2025 (8:30 - 14:00),,,NEXT DAY:,,15.09.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
47,3273,Не зайшов,,,47,,3273,Обіцяв бути,---,,50
48,3274,Не зайшов,,,48,,3274,Обіцяв бути,---,,51,#N/A
49,3275,Не зайшов,,,49,,3275,Обіцяв бути,---,,52
50,3279,Не зайшов,,,50,,3279,Обіцяв бути,---,,53
51,3287,Не зайшов,,,51,,3284,Обіцяв бути,---,,55,#N/A
52,3288,Не зайшов,,,52,,3287,Обіцяв бути,---,,56
53,3298,Не зайшов,,,53,,3288,Обіцяв бути,---,,58
54,3303,Не зайшов,,,54,,3295,Обіцяв бути,---,,60
55,3307,Не зайшов,,,55,,3298,Обіцяв бути,---,,61
56,3310,Не зайшов,,,56,,3299,Обіцяв бути,---,,63
57,3314,Не зайшов,,,57,,3303,Обіцяв бути,---,,64
58,3325,Не зайшов,,,58,,3307,Обіцяв бути,---,,65
59,3326,Не зайшов,,,59,,3309,Обіцяв бути,---,,66
60,3328,Не зайшов,,,60,,3310,Обіцяв бути,---,,67
61,3329,Не зайшов,,,61,,3314,Обіцяв бути,---,,68
62,3334,Не зайшов,,,62,,3325,Обіцяв бути,---,,69
63,3341,Не зайшов,,,63,,3326,Обіцяв бути,---,,70
64,3342,Не зайшов,,,64,,3328,Обіцяв бути,---,,71
65,3345,Не зайшов,,,65,,3329,Обіцяв бути,---,,72
66,3346,Не зайшов,,,66,,3334,Обіцяв бути,---,,73
67,3357,Не зайшов,,,67,,3341,Обіцяв бути,---,,74
68,3375,Не зайшов,,,68,,3342,Обіцяв бути,---,,75
69,3383,Не зайшов,,,69,,3345,Обіцяв бути,---,,76
70,3384,Не зайшов,,,70,,3346,Обіцяв бути,---,,77
71,3387,Відклав візит,,,71,,3357,Обіцяв бути,---,,#N/A
72,3395,Не зайшов,,,72,,3375,Обіцяв бути,---,,78
73,3397,Не зайшов,,,73,,3383,Обіцяв бути,---,,79,#N/A
74,3399,Не зайшов,,,74,,3384,Обіцяв бути,---,,80
75,3426,Не зайшов,,,75,,3395,Обіцяв бути,---,,81
76,3429,Не зайшов,,,76,,3397,Обіцяв бути,---,,82
77,3431,Не зайшов,,,77,,3399,Обіцяв бути,---,,83
78,3447,Не зайшов,,,78,,3426,Обіцяв бути,---,,84
79,3457,Не зайшов,,,79,,3429,Обіцяв бути,---,,85
80,3459,Не зайшов,,,80,,3431,Обіцяв бути,---,,86
81,3461,Не зайшов,,,81,,3447,Обіцяв бути,---,,87
82,3463,Не зайшов,,,82,,3457,Обіцяв бути,---,,88,#N/A
83,3483,Не зайшов,,,83,,3459,Обіцяв бути,---,,90
84,3485,Не зайшов,,,84,,3461,Обіцяв бути,---,,#N/A
85,3495,Не зайшов,,,85,,3463,Обіцяв бути,---,,92
86,3498,Не зайшов,,,86,,3471,Обіцяв бути,---,,93
87,3500,Не зайшов,,,87,,3483,Обіцяв бути,---,,94
88,3501,Не зайшов,,,88,,3492,Обіцяв бути,---,,95
89,3504,Не зайшов,,,89,,3495,Обіцяв бути,---,,96
90,3509,Не зайшов,,,90,,3498,Обіцяв бути,---,,97
91,3515,Не зайшов,,,91,,3500,Обіцяв бути,---,,98
92,3522,Не зайшов,,,92,,3501,Обіцяв бути,---,,99
93,3537,Не зайшов,,,93,,3504,Обіцяв бути,---,,100
94,3561,Не зайшов,"ваш номер 3561, замість 3562",,94,,3509,Обіцяв бути,---,,101
95,3604,Не зайшов,,,95,,3515,Обіцяв бути,---,,102
96,3656,Не зайшов,,,96,,3522,Обіцяв бути,---,,103,#N/A
97,3672,Не зайшов,,,97,,3537,Обіцяв бути,---,,105
98,,,,,98,"ваш номер 3561, замість 3562",3561,Обіцяв бути,---,,#N/A
99,,,,,99,,3604,Обіцяв бути,---,,#N/A
100,,,,,100,,3656,Обіцяв бути,---,,#N/A
101,,,,,101,,3659,Обіцяв бути,---,,#N/A
102,,,,,102,,3672,Обіцяв бути,---,,#N/A
103,,,,,103,,3696,Обіцяв бути,---,,#N/A
104,,,,,104,,3704,Обіцяв бути,---,,#N/A
105,,,,,105,,3706,Обіцяв бути,---,,#N/A
106,,,,,106,,,,,,#N/A
107,,,,,107,,,,,,#N/A
108,,,,,108,,,,,,#N/A
109,,,,,109,,,,,,#N/A
110,,,,,110,,,,,,#N/A
111,,,,,111,,,,,,#N/A
112,,,,,112,,,,,,#N/A
113,,,,,113,,,,,,#N/A
114,,,,,114,,,,,,#N/A
115,,,,,115,,,,,,#N/A
116,,,,,116,,,,,,#N/A
117,,,,,117,,,,,,#N/A
118,,,,,118,,,,,,#N/A
119,,,,,119,,,,,,#N/A
120,,,,,120,,,,,,#N/A
121,,,,,121,,,,,,#N/A
122,,,,,122,,,,,,#N/A
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
